var,imp
SLC11A1,1
PLAUR,2
SYK,3
APP,4
TGFB2,5
CEBPB,6
BTK,7
VEGFA,8
CSF3R,9
CXCL2,10
MIF,11
ITGA5,12
ENTPD1,13
CXCL3,14
SMPD3,15
CXCL16,16
LRP1,17
MAGEB2,18
FLT3LG,19
CD276,20
IL12RB1,21
DUSP6,22
CD58,23
CASP3,24
ZAP70,25
CD3E,26
GPI,27
BATF,28
CD24,29
TLR7,30
SAA1,31
AXL,32
CCL5,33
PDGFRB,34
CD80,35
TCF7,36
SELL,37
PECAM1,38
CD180,39
SH2D1A,40
CCL21,41
ITGAE,42
LTB,43
FOS,44
CARD11,45
MX1,46
CD27,47
GNLY,48
CFP,49
IL1RN,50
ANP32B,51
ITK,52
CCL8,53
TAP2,54
CCL20,55
KLRK1,56
TIGIT,57
HLA-C,58
CLEC5A,59
PAX5,60
HPRT1,61
CXCR3,62
LILRA4,63
C7,64
CD19,65
IL2,66
CARD9,67
CXCR5,68
CXCL1,69
CLEC6A,70
TLR2,71
NLRC5,72
CR2,73
CASP8,74
MAP3K5,75
KLRF1,76
CLEC7A,77
ANXA1,78
IKBKG,79
MCAM,80
EIF2B4,81
TNFRSF8,82
DUSP4,83
IFITM1,84
FLT3,85
HLA-G,86
SIGIRR,87
TNFRSF10C,88
STAT5B,89
HLA-DOB,90
CASP10,91
CXCR6,92
MAP4K2,93
JAM3,94
TICAM2,95
ITGA4,96
HLA-E,97
TNFSF8,98
MFGE8,99
BCL10,100
ERCC3,101
CD70,102
XCR1,103
TNFRSF1A,104
ECSIT,105
IL12RB2,106
C8G,107
HLA-DRB4,108
STAT6,109
TICAM1,110
IKBKB,111
CD9,112
LILRB3,113
MERTK,114
CD28,115
ELANE,116
CCR1,117
IL1R1,118
C1QB,119
IRAK4,120
PDGFC,121
ITGAL,122
BLK,123
IL16,124
TNF,125
CD8A,126
CX3CL1,127
C3,128
DOCK9,129
CNOT10,130
DHX16,131
RPS6,132
CD8B,133
ISG20,134
CYLD,135
CD38,136
BTLA,137
BCL2,138
IRF8,139
C1R,140
S100B,141
CD37,142
PSMB9,143
ICOS,144
FUT7,145
ICAM1,146
IL10,147
TLR8,148
CXCL5,149
JAK3,150
HLA-DPB1,151
NFATC3,152
IRF3,153
ITGA1,154
LCK,155
BLNK,156
C1QA,157
COL3A1,158
MAP3K1,159
TNFRSF13C,160
IL6,161
CD3D,162
PIK3CD,163
CCR7,164
PDCD1LG2,165
TLR5,166
AGK,167
FCER1G,168
G6PD,169
ICOSLG,170
ENG,171
EDC3,172
TNFSF13,173
LAG3,174
IL18,175
JAK1,176
CTSG,177
IL21R,178
LY86,179
ATF1,180
TLR10,181
TXK,182
FYN,183
IL6ST,184
ROPN1,185
ETS1,186
CD79B,187
RELB,188
MS4A1,189
MUC1,190
PSMB10,191
FN1,192
RUNX1,193
CDH1,194
DNAJC14,195
PRAME,196
GATA3,197
EOMES,198
POU2F2,199
CD86,200
CD96,201
TOLLIP,202
ATM,203
THBS1,204
RIPK2,205
IFI16,206
TLR9,207
FCER2,208
GZMM,209
TNFRSF4,210
CASP1,211
NUBP1,212
CD59,213
SPN,214
CD5,215
TFRC,216
CD247,217
CD74,218
IL21,219
POLR2A,220
CD99,221
IGF1R,222
CDK1,223
stage,224
CYFIP2,225
AMICA1,226
BST1,227
ILF3,228
CD79A,229
C2,230
LY9,231
PMCH,232
ICAM3,233
CD40LG,234
A2M,235
REPS1,236
CHUK,237
CLEC4C,238
NUP107,239
NFATC2,240
CD3G,241
CCND3,242
TBP,243
lmr>2.1,244
CD6,245
PIK3CG,246
CD22,247
CD4,248
SLAMF6,249
CD7,250
